Disease,Symptoms,Medical Tests,Cost (?)
Ingrown Toenail,"Red swollen skin around toenail, throbbing pain when wearing shoes, pus discharge if infected, curved nail digging into skin","Clinical exam, X-ray (if bone infection suspected)","500-3,000"
Motion Sickness,"Cold sweats and nausea during travel, excessive saliva production, dizziness that improves when lying down, vomiting that temporarily relieves symptoms",Clinical diagnosis only,0-300
Dry Eye Syndrome,"Gritty feeling like sand in eyes, blurred vision that improves with blinking, eye fatigue when reading/screens, stringy mucus in eye corners","Tear breakup test, Schirmer's test","400-2,000"
Bruxism,"Morning jaw pain and headaches, flattened/worn teeth noticed by dentist, earache without infection, clicking sound when opening mouth","Dental examination, Sleep study","800-5,000"
Athlete's Foot,"Peeling cracked skin between toes, burning itching that worsens when socks removed, blistering in severe cases, musty foot odor","KOH microscopy, Clinical exam",200-600
Contact Dermatitis,"Itchy red rash in exact shape of allergen contact (watch/necklace), fluid-filled blisters that weep, leathery thickened skin over time","Patch testing, Skin biopsy","500-2,500"
Hypoglycemia,"Sudden sweating and shaking when hungry, confusion that improves after eating sugar, double vision, pounding heartbeat","Fasting blood glucose, HbA1c","300-1,000"
Heat Stroke,"High body temperature with dry skin (no sweating), throbbing headache, muscle cramps progressing to weakness, confusion or fainting","Serum electrolytes, Liver function tests","800-4,000"
Mumps,"Puffy cheeks from swollen salivary glands, pain when chewing/swallowing, fever with headache, testicular swelling in males","IgM antibody test, Viral culture","600-2,000"
Celiac Disease,"Diarrhea with foul-smelling stools that float, bloating that improves when avoiding bread, unexplained anemia, itchy skin rash on elbows","tTG-IgA test, Endoscopy with biopsy","2,000-8,000"
Raynaud's Phenomenon,"Fingers turning white then blue in cold, numbness followed by painful throbbing when warming, small painful ulcers on fingertips in severe cases","Nailfold capillaroscopy, ANA test","1,000-4,500"
Tinnitus,"Constant ringing/buzzing in ears worse in quiet spaces, hearing muffled sounds, clicking sounds synchronized with heartbeat","Audiometry, MRI (for pulsatile)","1,500-6,000"
Oral Herpes,"Tingling warning before cold sores appear, clustered blisters on lips that crust over, swollen lymph nodes in neck, recurrent outbreaks during stress",Viral culture (rarely needed),"200-1,000"
Sprained Ankle,"Swelling/bruising around ankle bone, pain when bearing weight, tenderness when touching ligaments, instability when walking","X-ray (to rule out fracture), MRI for severe cases","600-5,000"
Yeast Infection,"Thick white cottage-cheese like discharge, intense vaginal itching/swelling, burning during urination, pain during intercourse","Wet mount microscopy, pH test","300-1,200"
Pleurisy,"Sharp chest pain with deep breaths that eases when holding breath, dry cough, fever if infectious cause, pain radiating to shoulder","Chest X-ray, Pleural fluid analysis","1,000-4,000"
Tendinitis,"Gradual pain worsening with activity, stiffness in morning, visible swelling over tendon, creaking sound when moving joint","Ultrasound, MRI","800-4,000"
Lactose Intolerance,"Gurgling stomach sounds after dairy, explosive diarrhea within 2 hours of milk products, excessive gas with bloating, nausea without vomiting","Hydrogen breath test, Lactose tolerance test","1,000-3,500"
Impetigo,"Honey-colored crusted sores around nose/mouth, itchy fluid-filled blisters that burst easily, mild fever in some cases, more common in children","Bacterial culture, Clinical exam","300-1,200"
Hypocalcemia,"Numbness/tingling in fingers/toes/lips, muscle cramps/spasms especially in hands/feet, abnormal heart rhythms in severe cases, seizures if very low calcium","Serum calcium, Ionized calcium, PTH test","600-2,500"
Pneumothorax,"Sudden sharp chest pain like being stabbed, shortness of breath that worsens over hours, dry cough, bluish skin from lack of oxygen","Chest X-ray, CT scan","1,500-6,000"
Peripheral Neuropathy,"Gradual numbness starting in feet like wearing socks, burning/shooting pains worse at night, muscle weakness causing foot drop, loss of balance in dark","Nerve conduction study, EMG","2,000-7,000"
Bell's Palsy,"Sudden drooping on one side of face, inability to close eye completely, drooling from corner of mouth, loss of taste on front of tongue","Clinical diagnosis, MRI (to rule out stroke)","800-15,000"
Diverticulosis,"No symptoms usually (found incidentally), occasional mild cramps in left lower belly, bloating relieved by passing gas, changes in bowel habits","Colonoscopy, CT scan","3,000-12,000"
Frozen Shoulder,"Gradual shoulder stiffness making bra/hair care difficult, pain that worsens at night when lying on side, limited ability to reach behind back","X-ray, MRI","800-5,000"
Lichen Planus,"Purple itchy flat-topped bumps on wrists/ankles, white lace-like patches in mouth, nail ridges/splitting, scalp lesions causing hair loss","Skin biopsy, Clinical exam","1,000-4,000"
Meniere's Disease,"Spinning vertigo attacks lasting hours, fluctuating hearing loss, roaring tinnitus, ear fullness/pressure like being underwater","Audiometry, VNG, MRI","3,000-12,000"
Osteoporosis,"No symptoms until fracture occurs, height loss over years, stooped posture (dowager's hump), back pain from spinal compression fractures","DEXA scan, X-rays","1,200-4,500"
Paronychia,"Red swollen skin around nail fold, pus collection near cuticle, throbbing pain, nail deformity if chronic","Clinical exam, Pus culture","200-1,500"
Pelvic Inflammatory Disease,"Dull lower abdominal pain, foul-smelling vaginal discharge, painful intercourse, irregular bleeding between periods","Pelvic exam, USG, Endocervical swab","1,500-6,000"
Peritonsillar Abscess,"Severe throat pain worse on one side, difficulty opening mouth fully, muffled ""hot potato"" voice, drooling from pain","Clinical exam, CT neck if severe","1,000-5,000"
Pityriasis Rosea,"Single large ""herald patch"" followed by smaller pink oval patches on trunk in Christmas-tree pattern, mild itching","Clinical diagnosis, KOH test to rule out fungus","300-1,200"
Polymyalgia Rheumatica,"Morning stiffness in shoulders/hips lasting >30 minutes, difficulty raising arms to comb hair, fatigue, low-grade fever","ESR, CRP, Clinical exam","800-3,500"
Pseudogout,"Sudden severe joint pain/swelling (often knee/wrist), warmth/redness over joint, attacks triggered by illness/surgery","Joint fluid analysis, X-ray","1,000-4,500"
Restless Leg Syndrome,"Uncomfortable crawling sensation in legs at rest, irresistible urge to move legs, night-time symptoms disrupting sleep, temporary relief with movement","Clinical diagnosis, Iron studies","500-3,000"
Seborrheic Dermatitis,"Greasy yellow scales on scalp (dandruff), red patches in eyebrows/nose folds, stubborn flakes that keep returning","Clinical exam, KOH test if uncertain",200-800
Sjogren's Syndrome,"Dry eyes feeling sandy/gritty, dry mouth making swallowing bread difficult, swollen salivary glands, dental cavities increasing suddenly","ANA, Anti-SSA/SSB, Schirmer's test","2,500-8,000"
Sleep Paralysis,"Waking unable to move/speak for seconds-minutes, often with hallucinations of intruder in room, occurs when falling asleep/waking","Clinical history, Sleep study if frequent","0-12,000"
Stress Fracture,"Localized bone pain worsening with activity, tenderness to touch, swelling without trauma, common in athletes/military","X-ray (late), MRI (early)","1,000-7,000"
Temporomandibular Disorder,"Clicking/popping jaw when chewing, pain radiating to ear/temple, morning jaw stiffness, headaches mimicking migraines","Clinical exam, Panoramic X-ray","500-3,500"
Trigeminal Neuralgia,"Lightning-like facial pain triggered by brushing teeth/wind, pain-free intervals between attacks, usually one-sided","MRI brain, Clinical diagnosis","3,000-10,000"
Urticaria Pigmentosa,"Brownish spots that welt up when scratched (Darier's sign), itching worsened by heat/scratching, more common in children","Skin biopsy, Tryptase level","1,000-4,500"
Vitiligo,"Milky-white patches spreading slowly, often symmetrical, more noticeable in dark skin, hair turning white in affected areas","Wood's lamp exam, Clinical diagnosis","500-2,000"
Whiplash Injury,"Neck pain/stiffness starting 24-48hrs after accident, headache at skull base, dizziness, shoulder/arm tingling","X-ray cervical spine, MRI if severe","1,200-8,000"
Acne Vulgaris,"Red pimples with white pus tips, blackheads on nose/forehead, painful cystic lumps under skin, oily shiny face that worsens before periods",Clinical diagnosis,0-500
Achalasia,"Difficulty swallowing both solids/liquids equally, regurgitation of undigested food, chest pain after eating, weight loss despite good appetite","Barium swallow, Esophageal manometry","2,500-12,000"
Actinic Keratosis,"Rough scaly patches on sun-exposed skin, sandpaper-like texture when touched, occasional itching/burning, may bleed if scratched","Skin biopsy, Dermoscopy","800-3,500"
Addison's Disease,"Bronze-like skin darkening, extreme fatigue that worsens through day, salt cravings, dizziness when standing quickly","Morning cortisol test, ACTH stimulation test","1,500-6,000"
Alopecia Areata,"Sudden coin-shaped bald patches, exclamation mark hairs at edges, nail pitting, sometimes affects eyebrows/beard","Clinical exam, Trichoscopy","300-2,000"
Amblyopia,"Poor vision in one eye not corrected by glasses, squinting/closing one eye, difficulty judging distances, discovered during childhood eye tests","Visual acuity test, Retinal exam","400-2,500"
Ankylosing Spondylitis,"Chronic lower back pain/stiffness improving with exercise, morning stiffness >30 mins, reduced chest expansion, eye inflammation episodes","HLA-B27 test, X-ray SI joints","2,000-8,000"
Aplastic Anemia,"Frequent infections, easy bruising/bleeding, pale skin, fatigue disproportionate to activity, nosebleeds/gum bleeding","Complete blood count, Bone marrow biopsy","3,000-15,000"
Baker's Cyst,"Swollen bulge behind knee that worsens with standing, tightness/stiffness, may rupture causing calf swelling/pain","Ultrasound knee, MRI if complicated","800-4,500"
Barrett's Esophagus,"Longstanding heartburn, acid regurgitation, difficulty swallowing solids first then liquids, no relief from antacids",Endoscopy with biopsy,"3,500-12,000"
Behcet's Disease,"Mouth ulcers lasting >1 week, genital ulcers, eye redness/pain, red bumps when skin pricked (pathergy)","Clinical criteria, HLA-B51 test","2,500-9,000"
Biliary Colic,"Sudden intense right upper belly pain after fatty meals, pain lasts 1-5 hours, nausea without vomiting, no fever","USG abdomen, LFT","1,000-4,500"
Bipolar Disorder,"Periods of excessive energy/irritability alternating with depression, reckless spending during highs, suicidal thoughts during lows","Psychiatric evaluation, Mood charting","1,500/session"
Blepharitis,"Red swollen eyelids with crusts at lash base, gritty feeling in eyes, flaky skin around eyes, light sensitivity","Slit lamp exam, Eyelid swab","400-1,800"
Bronchiectasis,"Daily cough with large amounts of foul-smelling phlegm, recurrent chest infections, clubbed fingernails in advanced cases","HRCT chest, Sputum culture","3,000-10,000"
Brucellosis,"Undulant fever (rising/falling temperature), severe sweating especially at night, joint pains, fatigue lasting months","Blood culture, Serology","1,500-5,500"
Bulimia Nervosa,"Binge eating followed by forced vomiting, swollen salivary glands, tooth enamel erosion, calluses on knuckles","Psychiatric evaluation, Electrolyte tests","2,000-8,000"
Bunion,"Painful bony bump at base of big toe, toe angling toward others, redness/corns over bump, difficulty finding shoes","X-ray foot, Clinical exam","600-5,000"
Candidiasis (Oral),"White creamy patches on tongue/cheeks that scrape off leaving red base, painful cracks at mouth corners, loss of taste","KOH prep, Clinical exam",200-800
Carpal Tunnel Syndrome,"Numbness/tingling in thumb/index/middle fingers, weakness in grip causing dropping objects, symptoms worse at night","Nerve conduction study, EMG","1,500-5,500"
Chalazion,"Painless lump on eyelid that grows slowly, blurred vision if large, sometimes recurrent at same spot","Slit lamp exam, Rarely biopsy","300-2,500"
Charcot-Marie-Tooth,"High arched feet, hammer toes, leg muscle wasting giving ""stork leg"" appearance, foot drop causing tripping","Nerve conduction tests, Genetic testing","5,000-20,000"
Chronic Kidney Disease,"Foamy urine, swelling around eyes/ankles, metallic taste in mouth, itching without rash","Serum creatinine, Urine albumin","500-3,500"
Cluster Headache,"Excruciating one-sided eye pain lasting 15-180 mins, occurs same time daily, red/watery eye, nasal congestion on affected side","Clinical diagnosis, MRI to rule out others","1,500-8,000"
Cushing Syndrome,"Moon face with red cheeks, buffalo hump fat deposit, thin skin that bruises easily, purple stretch marks","Dexamethasone test, 24hr urine cortisol","3,000-12,000"
Dupuytren's Contracture,"Thickened cords in palm causing fingers to bend inward, difficulty placing hand flat, nodules under palm skin","Clinical exam, Ultrasound","1,000-7,000"
Endometriosis,"Severe period pain radiating to back/thighs, pain during intercourse, heavy bleeding with clots, infertility","Transvaginal USG, Laparoscopy","5,000-25,000"
Epididymitis,"Sudden scrotal pain/swelling, fever, urinary frequency, relief when elevating scrotum","Urinalysis, USG scrotum","800-4,500"
Erythema Nodosum,"Painful red lumps on shins like bruises, fever, joint pains, usually follows throat infection","Clinical exam, Biopsy if uncertain","500-3,000"
Fibromyalgia,"Widespread muscle pain >3 months, tender points at specific spots, ""fibro fog"" memory issues, unrefreshing sleep","Clinical diagnosis, Tests to rule out others","1,000-6,000"
Hypertension,"""My temples throb when stressed"", ""Occasional nosebleeds without reason"", ""Morning headaches that fade by afternoon"", ""Doctor says high BP but I feel fine""","Digital BP monitoring, Renal function tests","200-1,500"
Pneumonia,"""Cough with green/yellow mucus"", ""Stabbing pain when breathing deep"", ""Fever with chattering teeth"", ""Lips look bluish when tired""","Chest X-ray, Sputum culture","800-3,500"
Depression,"""Lost interest in favorite activities"", ""Constant fatigue despite sleeping"", ""Overeating or no appetite"", ""Feeling worthless for weeks""","PHQ-9 questionnaire, Thyroid tests","0-1,200"
Gastritis,"""Burning stomach pain after eating"", ""Sour burps with bad taste"", ""Black tarry stools"", ""Feeling full after few bites""","Endoscopy, Stool occult blood","1,500-5,000"
Malaria,"""High fever with chills every 2 days"", ""Severe body aches"", ""Drenched bedsheets from night sweats"", ""Recent mosquito bites""","Peripheral smear, Rapid test","250-1,200"
UTI,"""Burning pee with foul smell"", ""Constant urge to urinate"", ""Lower belly discomfort"", ""Pinkish urine sometimes""","Urine routine, Culture","150-1,000"
Dengue,"""High fever with bone pain"", ""Red rash on arms/legs"", ""Bleeding gums"", ""Extreme weakness""","NS1 antigen, Platelet count","500-2,500"
Anemia,"""Pale skin/gums"", ""Breathlessness climbing stairs"", ""Craving ice/chalk"", ""Heart races suddenly""","CBC, Iron studies","400-2,000"
Typhoid,"""Step-ladder rising fever"", ""Rose-colored spots on belly"", ""Severe headache with diarrhea"", ""Coated tongue""","Widal test, Blood culture","500-3,000"
Chikungunya,"""High fever with joint swelling"", ""Can't hold spoon due to pain"", ""Rash on face/body"", ""Morning stiffness""",IgM ELISA test,"1,000-2,500"
Hepatitis B,"""Yellow eyes/skin"", ""Tea-colored urine"", ""Loss of appetite"", ""Itchy skin without rash""","HBsAg test, LFT","800-3,500"
Kidney Stones,"""Worst pain from back to groin"", ""Blood in urine"", ""Restless from pain"", ""Frequent painful urination""","USG KUB, Urine analysis","1,000-4,500"
Tuberculosis,"""Cough >3 weeks with blood"", ""Drenching night sweats"", ""Unexplained weight loss"", ""Evening fever""","Sputum test, CBNAAT","200-2,500"
Osteoarthritis,"""Knee pain worsens using stairs"", ""Cracking sound when moving"", ""Stiffness after sitting"", ""Weather affects pain""",X-ray joints,"600-2,500"
Chickenpox,"""Itchy blisters at different stages"", ""Fever with spots starting on chest"", ""New spots appear for 5 days"", ""Scabs forming""",Clinical diagnosis,0-500
Conjunctivitis,"""Red eyes with yellow crusts"", ""Gritty feeling like sand"", ""Watery discharge"", ""Light sensitivity""",Slit lamp exam,"200-1,000"
Peptic Ulcer,"""Burning pain improves with food"", ""Black tarry stools"", ""Nighttime stomach pain"", ""Bloating after meals""","Endoscopy, H.pylori test","2,000-6,000"
Scabies,"""Intense itching worse at night"", ""Tiny burrows between fingers"", ""Whole family has same itch"", ""Rash in private areas""",Skin scraping,200-600
Sinusitis,"""Cheekbone pain when bending"", ""Thick yellow nasal discharge"", ""Blocked nose for weeks"", ""Toothache in upper jaw""",X-ray PNS,"800-2,500"
Appendicitis,"""Pain moving from belly button to right side"", ""Hurts when pressing right lower belly"", ""Loss of appetite"", ""Fever with nausea""","USG abdomen, CBC","1,000-4,000"
Food Poisoning,"""Vomiting within hours of eating"", ""Watery diarrhea"", ""Stomach cramps in waves"", ""Dizziness from dehydration""","Stool culture, Electrolytes","500-2,500"
Lyme Disease,"""Bullseye rash after tick bite"", ""Joint pain moving between knees/elbows"", ""Fever with neck stiffness"", ""Extreme fatigue lasting months""",ELISA/Western blot,"1,500-4,500"
Mastitis,"""Painful, swollen breast with redness"", ""Fever and chills"", ""Wedge-shaped breast lump"", ""Burning pain while breastfeeding""","Clinical exam, USG breast","800-3,500"
Melanoma,"""Changing mole with irregular borders"", ""New dark spot that bleeds easily"", ""Itchy or painful skin lesion"", ""Multi-colored growth""","Dermoscopy, Excisional biopsy","2,000-8,000"
Meniere's Disease,"""Sudden vertigo attacks with vomiting"", ""Ringing in ears worsens during attacks"", ""Ear fullness like underwater"", ""Temporary hearing loss episodes""","Audiometry, VNG","3,000-10,000"
Multiple Sclerosis,"""Numbness spreading up legs over days"", ""Electric shock feeling when bending neck"", ""Blurred vision in one eye"", ""Clumsiness when walking""","MRI brain/spine, LP","8,000-25,000"
Myasthenia Gravis,"""Drooping eyelids worsening through day"", ""Double vision when tired"", ""Difficulty chewing/swallowing"", ""Weakness improves with rest""","Edrophonium test, AChR antibodies","3,500-12,000"
Narcolepsy,"""Falling asleep mid-conversation"", ""Sudden muscle weakness when laughing"", ""Vivid dreams when napping"", ""Sleep paralysis episodes""","Sleep study, Hypocretin test","5,000-18,000"
Necrotizing Fasciitis,"""Severe pain disproportionate to wound"", ""Purple skin blisters with foul smell"", ""High fever with confusion"", ""Rapidly spreading redness""","Surgical exploration, Blood cultures",Emergency care
Neurofibromatosis,"""Coffee-colored skin spots since childhood"", ""Soft lumps under skin"", ""Freckling in armpits/groin"", ""Bone deformities""","Clinical diagnosis, Genetic testing","2,500-15,000"
Ovarian Cyst,"""Dull pelvic pain on one side"", ""Bloating that won't go away"", ""Pain during intercourse"", ""Frequent urination""","Transvaginal USG, CA-125","1,500-6,000"
Paget's Disease,"""Enlarged misshapen skull"", ""Bone pain worse at night"", ""Hearing loss from skull changes"", ""Bowed legs""","Alkaline phosphatase, Bone scan","2,000-7,000"
Panic Disorder,"""Sudden chest pain with terror"", ""Feeling of impending doom"", ""Tingling hands during attack"", ""Avoiding places where attacks occurred""","Clinical diagnosis, ECG to rule out","800-3,500"
Parkinson's Disease,"""Hand tremor like pill-rolling"", ""Stiff slow movements"", ""Loss of smell years earlier"", ""Quiet monotonous speech""","Clinical exam, DaTscan","5,000-20,000"
PCOS,"""Irregular periods for years"", ""Excess facial hair"", ""Acne persisting past teens"", ""Weight gain around waist""","Pelvic USG, Hormone tests","1,500-5,500"
Pericarditis,"""Sharp chest pain relieved by sitting forward"", ""Pain radiates to left shoulder"", ""Pericardial rub sound"", ""Low-grade fever""","ECG, Echocardiogram","1,200-4,500"
Peripheral Artery Disease,"""Calf pain when walking (claudication)"", ""Cold numb feet"", ""Shiny hairless legs"", ""Non-healing foot ulcers""","Ankle-brachial index, Angiography","1,500-12,000"
Pleurisy,"""Knife-like pain with deep breaths"", ""Pain disappears when holding breath"", ""Dry cough"", ""Grating sound when breathing""","Chest X-ray, Pleural fluid analysis","1,000-4,500"
Pneumothorax,"""Sudden sharp chest pain"", ""Breathlessness worsening over hours"", ""Dry cough"", ""Neck vein distension""","Chest X-ray, CT scan","1,500-6,500"
Polymyositis,"""Weakness lifting arms to comb hair"", ""Difficulty rising from chairs"", ""Muscle pain in shoulders/thighs"", ""Trouble swallowing solids""","CPK levels, EMG, Muscle biopsy","3,000-10,000"
Preeclampsia,"""Swollen face/hands suddenly"", ""Headache not relieved by meds"", ""Seeing spots/flashes"", ""Upper right belly pain""","Urine protein, BP monitoring",Emergency care
Prostatitis,"""Pelvic pain between scrotum/anus"", ""Burning urination with frequency"", ""Pain after ejaculation"", ""Low backache""","Digital rectal exam, Urine culture","1,000-4,500"
Psoriatic Arthritis,"""Swollen 'sausage' fingers/toes"", ""Nail pitting with ridges"", ""Scaly patches with joint pain"", ""Back stiffness improving with movement""","X-rays, RF factor (to exclude)","2,000-7,000"
Pulmonary Embolism,"""Sudden breathlessness at rest"", ""Sharp pain when breathing deep"", ""Coughing up blood-streaked mucus"", ""Calf swelling/pain""","D-dimer, CT pulmonary angiogram","3,000-15,000"
Raynaud's Phenomenon,"""Fingers turn white then blue in cold"", ""Numbness followed by throbbing pain"", ""Small painful finger ulcers"", ""Triggered by AC or stress""","Nailfold capillaroscopy, ANA","1,000-5,000"
Reactive Arthritis,"""Joint pain after diarrhea/STD"", ""Eye redness with pain"", ""Balanitis (penis rash)"", ""Heel pain and back stiffness""","HLA-B27, ESR/CRP","1,500-6,000"
Restless Leg Syndrome,"""Creepy-crawly leg sensations at night"", ""Irresistible urge to move legs"", ""Kicking during sleep"", ""Relieved by walking""","Iron studies, Sleep study","800-5,000"
Rheumatic Fever,"""Joint pain migrating between knees/elbows"", ""Fever with rash (erythema marginatum)"", ""Uncontrolled jerky movements"", ""Recent strep throat""","ASO titer, Echo","1,200-6,000"
Sarcoidosis,"""Dry cough lasting months"", ""Red bumps on shins (erythema nodosum)"", ""Blurred vision with eye pain"", ""Swollen lymph nodes""","Chest X-ray, ACE levels, Biopsy","3,000-12,000"
Scleroderma,"""Fingers puff up then skin tightens"", ""Small mouth opening"", ""Red spots on face/hands"", ""Acid reflux worsening""","ANA, Nailfold capillaroscopy","2,500-9,000"
Sjogren's Syndrome,"""Dry eyes like sandpaper"", ""Mouth so dry can't swallow bread"", ""Dental cavities increasing"", ""Parotid gland swelling""","Schirmer's test, Anti-SSA/SSB","2,500-8,000"
Sleep Apnea,"""Loud snoring with gasping"", ""Waking up choking"", ""Daytime sleepiness despite long sleep"", ""Morning headaches""",Polysomnography,"5,000-15,000"
Temporal Arteritis,"""Throbbing headache at temples in elderly"", ""Scalp tenderness when combing hair"", ""Jaw pain while chewing"", ""Sudden vision loss in one eye""","ESR, Temporal artery biopsy","1,500-6,000"
Tetanus,"""Lockjaw (can't open mouth)"", ""Painful muscle spasms"", ""Stiff neck/back"", ""Triggered by wound""",Clinical diagnosis,Emergency care
Thalassemia,"""Pale/yellowish skin since childhood"", ""Fatigue with mild activity"", ""Dark urine"", ""Abnormal facial bones in severe cases""","Hb electrophoresis, CBC","1,200-5,000"
Tourette Syndrome,"""Uncontrollable blinking/tics"", ""Vocal sounds like grunting"", ""Coprolalia (rare)"", ""Worsens with stress""",Clinical diagnosis,"1,000-4,000"
Toxoplasmosis,"""Flu-like symptoms after handling cats"", ""Blurred vision with eye pain"", ""Swollen lymph nodes in neck"", ""Dangerous in pregnancy""",IgM antibody test,"800-3,500"
Trichinosis,"""Muscle pain after eating pork"", ""Swollen eyelids"", ""Fever with chills"", ""Weakness lasting weeks""","Muscle biopsy, Antibody test","1,500-5,500"
Trigeminal Neuralgia,"""Lightning-like face pain triggered by brushing teeth"", ""Pain-free intervals between attacks"", ""Only affects one side"", ""Avoids eating/talking""",MRI brain,"3,500-12,000"
